"gene","lfc_hypotonic","padj_hypotonic","lfc_aa","padj_aa","lfc_hypoglycemic","padj_hypoglycemic"
"YDL238C",5.15961664522025,0.00929518171736271,6.27410189857801,9.38509330923317e-06,2.68036396011191,0.0134487901315907
"YDL243C",5.4168281871673,0.00585531981413939,3.50743271270537,0.0126195856474248,3.92415680190534,0.00021517938981
"YDR027C",4.79330698846045,0.0315245121945035,4.26895947578211,0.00490182280612875,2.33822896480243,0.0444479365446874
"YDR038C",3.9323471190258,0.0410773506671891,3.50114974801491,0.00656356315929504,-2.9272794669973,0.00408295476737381
"YDR129C",2.97691014684854,0.0397541282234225,2.47111992129655,0.0104302506033955,3.15701508638726,1.34755027961331e-05
"YDR210W-B",3.04402208742579,0.042608770152011,3.9934009566191,8.6098725109926e-05,4.30936570056281,1.51138326847298e-08
"YDR213W",4.98944624338857,0.0153574178635822,7.10093833168819,9.4988563979977e-07,4.38054675127998,6.11001103764752e-05
"YDR257C",4.96063166368365,0.0246342360817493,4.6391970210674,0.00241159747744566,2.6166496581399,0.0245629763007072
"YDR295C",5.46805479977866,0.0164631222509422,5.00292056925371,0.0018782225068731,2.75587139615025,0.0240972117054458
"YDR361C",4.83130980791858,0.0465298758533453,3.13289189247815,0.0495832724496861,3.41283087560126,0.00558259434213069
"YDR536W",-4.99328441373421,0.0150514645179457,3.72986122418605,0.00871521667968645,4.85809949190304,4.1520016073257e-06
"YEL007W",6.76859920802745,7.42453707478312e-07,3.85761036668493,0.000970990060170912,-4.98992799871438,2.77588879096859e-08
"YEL028W",10.9076119735597,2.95736486613379e-07,8.67929749485299,2.16491110782037e-06,3.24248552001197,0.0217663080642971
"YER029C",5.21404858322094,0.0130710277789686,3.50511976647115,0.016757021147521,2.738059576128,0.0155692053727841
"YER035W",3.26532450433445,0.0496074664390356,3.33749988026719,0.0027955814236582,3.06542847056304,0.000272657986992156
"YER053C-A",-5.63928739417156,0.0423886932727781,4.07587967632536,0.0205632523128061,4.96387289900902,0.000202508492230502
"YER060W-A",7.46336902083586,6.21569447779184e-05,8.8093621298051,2.69384259327956e-09,3.25173488393156,0.00552325615244829
"YER087C-B",3.28385788081873,0.0455477315234796,2.38638530350544,0.0277380314530847,2.48762509009434,0.00313522755398366
"YER171W",5.21006838604656,0.00759758206578946,2.85757817311257,0.0381254399820011,-3.63714145080503,0.000761460793046592
"YFL051C",8.86632503326874,0.00114184100411783,7.38371813328015,0.000407555571289388,4.63752426196447,0.00315087010573962
"YFL052W",30,3.18974918892233e-39,27.8757517780217,2.20594005701561e-47,26.3112608893085,3.59299016274571e-68
"YFL056C",4.49587501685153,0.0380031916488375,3.94156991167062,0.00665049360784511,3.09477608734386,0.00504635029928557
"YGL010W",6.1837658861323,0.00136216124004672,5.17287289301864,0.000442609205719982,4.64112790447978,2.20197724779479e-05
"YGL145W",5.04697558155712,0.00975804455566438,3.19536859690156,0.0198085552130373,-4.49581206999863,2.51685140041866e-05
"YGL153W",4.90098780284212,0.0159418465793261,4.23248863979528,0.00307542181753477,2.56417486344835,0.0187163139708407
"YGL246C",5.07804493197027,0.00556218286965863,2.88151495217554,0.0274735307165813,-5.59849219469205,2.73579834539642e-08
"YGR002C",4.30916697215178,0.0327882485570386,4.93376337924188,0.000373204712319117,2.39204088754759,0.0236145114905931
"YGR027W-B",2.81680915584579,0.0327882485570386,2.39269508952358,0.00737110675448582,1.89512073520796,0.00644006512405262
"YGR088W",-2.73742222677871,0.0382082579289727,3.30852391671664,0.000227028225699182,3.30538533627411,4.76145290281298e-07
"YGR093W",3.96891777810077,0.0410773506671891,4.26136312017249,0.00122861145186031,-22.263557469424,8.2075814730408e-127
"YGR172C",4.15614654274173,0.0430067659495281,2.93687317217639,0.0307553540790105,3.15496600908842,0.00252979578931627
"YGR198W",4.25431035484882,0.0352366372634561,2.64752068667008,0.0495832724496861,2.6988546106121,0.0095826204353213
"YGR234W",6.270237796839,0.00114184100411783,5.96575690983145,4.67176752121621e-05,4.64999961012523,1.94546765736952e-05
"YGR235C",4.43115447699795,0.0188203850000079,2.85195400437416,0.0274735307165813,2.58444463540936,0.00969060762570405
"YGR251W",6.72886470975682,0.0150202388898731,4.45633536074046,0.0200292357140911,-21.0580074675949,3.3772759616145e-55
"YGR271W",4.28445929248026,0.0410773506671891,4.98299632263227,0.00046130284409709,2.5017488071949,0.0203218293258016
"YGR277C",4.68180910462025,0.0105681386987996,2.80918963991927,0.0280473471868951,-5.32774290552023,7.63605539853573e-08
"YGR283C",6.13537370575375,0.00103513839114524,3.37370092122461,0.0165544908821485,-5.11536891283763,2.97521852107191e-06
"YHL017W",5.06656028015843,0.0190844987654422,2.99451170913985,0.0427002351411174,-2.35685663864835,0.0416686061624733
"YHL042W",6.16053727551058,0.0223081169613698,6.66397589099725,0.000393899339781001,-18.1788565009746,5.53029961084702e-44
"YHL043W",6.83755935253179,0.0164631222509422,6.513620030618,0.00119694386086773,3.02799563607003,0.0476198869774278
"YHR117W",4.3384753529787,0.0432609032730267,3.78211855861703,0.00813358978987703,3.28387159193989,0.00256305909949697
"YHR136C",5.18042230775374,0.0123545505931973,4.88130855435691,0.000927322332596634,2.51504745026241,0.0249182343111767
"YHR219W",4.48792539377257,0.00677998625496804,4.39060273351735,0.000274363725522237,4.64364471009751,1.79314171012946e-07
"YIL009C-A",6.02309088367926,0.000408201733465041,3.67124602144397,0.00554561741145048,2.13114920895463,0.0380723012919639
"YIL022W",4.81556460776816,0.0123545505931973,3.0345094938278,0.0236412734396565,4.07766204669023,5.77596191643206e-05
"YIL049W",7.85127774176097,0.000119352020880253,5.62614271658971,0.000617992544416202,-5.17419309466796,3.49632100339821e-05
"YIL057C",-7.18941628650364,0.00735856506106161,-7.59959447139099,7.8723634035507e-05,7.78386052048696,4.97434140528196e-09
"YIL062C",3.71320117106726,0.028777180718133,3.43202364522376,0.00322628136938542,5.36312130331341,1.64807573444496e-10
"YIL084C",5.54219453960667,0.0123645614508027,7.95085088045312,4.47403175984873e-07,6.68444401188526,6.87500444644728e-09
"YIL089W",-6.63926988343193,0.0223081169613698,3.88767804251841,0.0401149851728743,2.9910528906751,0.0421245034499374
"YIL164C",6.08011953662533,0.00812839929219198,6.80154793000634,3.64875860479551e-05,5.98298507262122,7.46672331665948e-07
"YIL169C",5.87847124865333,0.00180820998522212,6.39875500493393,6.44983888097435e-06,3.78216207668874,0.000440657115858734
